No,Station,Latitude,Longitude,Depth,Agency,Group,AlongShelfGroup,CrossShelfGroup
1,1901,33.561370,-117.827570,10,OCSD,San Pedro Shelf,A,Line 1
2,1902,33.552750,-117.832400,60,OCSD,San Pedro Shelf,B,Line 1
3,1903,33.546030,-117.836370,100,OCSD,San Pedro Shelf,C,Line 1
4,1904,33.529780,-117.845570,405,OCSD,San Pedro Shelf,D,Line 1
5,1905,33.513500,-117.854750,510,OCSD,San Pedro Shelf,E,Line 1
6,1906,33.497150,-117.864030,550,OCSD,San Pedro Shelf,F,Line 1
7,2001,33.588920,-117.878200,10,OCSD,San Pedro Shelf,A,Line 2
8,2002,33.579250,-117.883800,60,OCSD,San Pedro Shelf,B,Line 2
9,2003,33.576080,-117.885730,100,OCSD,San Pedro Shelf,C,Line 2
10,2004,33.559820,-117.895130,345,OCSD,San Pedro Shelf,D,Line 2
11,2005,33.543550,-117.904380,410,OCSD,San Pedro Shelf,E,Line 2
12,2006,33.527450,-117.913730,470,OCSD,San Pedro Shelf,F,Line 2
13,2021,33.596180,-117.898030,10,OCSD,San Pedro Shelf,A,Line 3
14,2022,33.588050,-117.902700,53,OCSD,San Pedro Shelf,B,Line 3
15,2023,33.579930,-117.907370,165,OCSD,San Pedro Shelf,C,Line 3
16,2024,33.563520,-117.917180,300,OCSD,San Pedro Shelf,D,Line 3
17,2025,33.547520,-117.926550,390,OCSD,San Pedro Shelf,E,Line 3
18,2026,33.531670,-117.935820,432,OCSD,San Pedro Shelf,F,Line 3
19,2101,33.603050,-117.929150,10,OCSD,San Pedro Shelf,A,Line 4
20,2102,33.593850,-117.936770,26,OCSD,San Pedro Shelf,B,Line 4
21,2103,33.584820,-117.944630,110,OCSD,San Pedro Shelf,C,Line 4
22,2104,33.569980,-117.956900,143,OCSD,San Pedro Shelf,D,Line 4
23,2105,33.555150,-117.969170,280,OCSD,San Pedro Shelf,E,Line 4
24,2106,33.540330,-117.981420,309,OCSD,San Pedro Shelf,F,Line 4
25,2181,33.614620,-117.945870,10,OCSD,San Pedro Shelf,A,Line 5
26,2182,33.604530,-117.954400,15,OCSD,San Pedro Shelf,B,Line 5
27,2183,33.595020,-117.962400,36,OCSD,San Pedro Shelf,C,Line 5
28,2184,33.580180,-117.974670,51,OCSD,San Pedro Shelf,D,Line 5
29,2185,33.565370,-117.986920,114,OCSD,San Pedro Shelf,E,Line 5
30,2186,33.550530,-117.999180,247,OCSD,San Pedro Shelf,F,Line 5
31,2201,33.624880,-117.963850,10,OCSD,San Pedro Shelf,A,Line 6
32,2202,33.615020,-117.971900,16,OCSD,San Pedro Shelf,B,Line 6
33,2203,33.605220,-117.980170,25,OCSD,San Pedro Shelf,C,Line 6
34,2204,33.590380,-117.992430,39,OCSD,San Pedro Shelf,D,Line 6
35,2205,33.575570,-118.004700,57,OCSD,San Pedro Shelf,E,Line 6
36,2206,33.560730,-118.016970,185,OCSD,San Pedro Shelf,F,Line 6
37,2221,33.634980,-117.981800,10,OCSD,San Pedro Shelf,A,Line 7
38,2222,33.625370,-117.989570,15,OCSD,San Pedro Shelf,B,Line 7
39,2223,33.615570,-117.997850,22,OCSD,San Pedro Shelf,C,Line 7
40,2224,33.600580,-118.010130,31,OCSD,San Pedro Shelf,D,Line 7
41,2225,33.585770,-118.022430,47,OCSD,San Pedro Shelf,E,Line 7
42,2226,33.570950,-118.034720,135,OCSD,San Pedro Shelf,F,Line 7
43,2301,33.642870,-118.001070,10,OCSD,San Pedro Shelf,A,Line 8
44,2302,33.634220,-118.008250,15,OCSD,San Pedro Shelf,B,Line 8
45,2303,33.625620,-118.015600,21,OCSD,San Pedro Shelf,C,Line 8
46,2304,33.610820,-118.027900,29,OCSD,San Pedro Shelf,D,Line 8
47,2305,33.596000,-118.040200,38,OCSD,San Pedro Shelf,E,Line 8
48,2306,33.581180,-118.052480,114,OCSD,San Pedro Shelf,F,Line 8
49,2349,33.653170,-118.018920,10,OCSD,San Pedro Shelf,A,Line 9
50,2350,33.644450,-118.026100,14,OCSD,San Pedro Shelf,B,Line 9
51,2351,33.635850,-118.033350,21,OCSD,San Pedro Shelf,C,Line 9
52,2352,33.621030,-118.045650,29,OCSD,San Pedro Shelf,D,Line 9
53,2353,33.606220,-118.057950,37,OCSD,San Pedro Shelf,E,Line 9
54,2354,33.591400,-118.070230,123,OCSD,San Pedro Shelf,F,Line 9
55,2401,33.665330,-118.035050,10,OCSD,San Pedro Shelf,A,Line 10
56,2402,33.655700,-118.043220,16,OCSD,San Pedro Shelf,B,Line 10
57,2403,33.646080,-118.051200,21,OCSD,San Pedro Shelf,C,Line 10
58,2404,33.631250,-118.063470,29,OCSD,San Pedro Shelf,D,Line 10
59,2405,33.616430,-118.075730,37,OCSD,San Pedro Shelf,E,Line 10
60,2406,33.601600,-118.088000,60,OCSD,San Pedro Shelf,F,Line 10
61,2451,33.691250,-118.065730,10,OCSD,San Pedro Shelf,A,Line 11
62,2452,33.678980,-118.076400,17,OCSD,San Pedro Shelf,B,Line 11
63,2453,33.666450,-118.086730,22,OCSD,San Pedro Shelf,C,Line 11
64,2454,33.651630,-118.099100,30,OCSD,San Pedro Shelf,D,Line 11
65,2455,33.636830,-118.111250,36,OCSD,San Pedro Shelf,E,Line 11
66,2456,33.621970,-118.123520,42,OCSD,San Pedro Shelf,F,Line 11
66,2500,33.734101,-118.120621,5,LACSD,San Pedro Shelf,A,Line 12
67,2501,33.727870,-118.120250,10,LACSD,San Pedro Shelf,A,Line 12
68,2502,33.699040,-118.127790,20,LACSD,San Pedro Shelf,B,Line 12
69,2503,33.670210,-118.135330,26,LACSD,San Pedro Shelf,C,Line 12
70,2504,33.641390,-118.142870,33,LACSD,San Pedro Shelf,D,Line 12
71,2505,33.612560,-118.150410,44,LACSD,San Pedro Shelf,E,Line 12
72,2506,33.581020,-118.159080,60,LACSD,San Pedro Shelf,F,Line 12
73,2601,33.720430,-118.184260,19,LACSD,San Pedro Shelf,A,Line 13
74,2602,33.693980,-118.190500,23,LACSD,San Pedro Shelf,B,Line 13
75,2603,33.667520,-118.196740,23,LACSD,San Pedro Shelf,C,Line 13
76,2604,33.641070,-118.202990,32,LACSD,San Pedro Shelf,D,Line 13
77,2605,33.614610,-118.209230,47,LACSD,San Pedro Shelf,E,Line 13
78,2606,33.588160,-118.215470,62,LACSD,San Pedro Shelf,F,Line 13
79,2701,33.707750,-118.246660,26,LACSD,San Pedro Shelf,A,Line 14
80,2702,33.688640,-118.251120,26,LACSD,San Pedro Shelf,B,Line 14
81,2703,33.669530,-118.255590,28,LACSD,San Pedro Shelf,C,Line 14
82,2704,33.650420,-118.260050,50,LACSD,San Pedro Shelf,D,Line 14
83,2705,33.631310,-118.264520,220,LACSD,San Pedro Shelf,E,Line 14
84,2706,33.612200,-118.268980,80,LACSD,San Pedro Shelf,F,Line 14
85,2801,33.702880,-118.284380,10,LACSD,Palos Verdes,A,Line 15
86,2802,33.693270,-118.289080,30,LACSD,Palos Verdes,B,Line 15
87,2803,33.668450,-118.296800,60,LACSD,Palos Verdes,C,Line 15
88,2804,33.657670,-118.301280,300,LACSD,Palos Verdes,D,Line 15
89,2805,33.648540,-118.304040,540,LACSD,Palos Verdes,E,Line 15
90,2806,33.637080,-118.309190,630,LACSD,Palos Verdes,F,Line 15
91,2901,33.714300,-118.323450,10,LACSD,Palos Verdes,A,Line 16
92,2902,33.706930,-118.329830,30,LACSD,Palos Verdes,B,Line 16
93,2903,33.698470,-118.335680,60,LACSD,Palos Verdes,C,Line 16
94,2904,33.687830,-118.339000,300,LACSD,Palos Verdes,D,Line 16
95,2905,33.670940,-118.346180,555,LACSD,Palos Verdes,E,Line 16
96,2906,33.654090,-118.354300,775,LACSD,Palos Verdes,F,Line 16
97,3001,33.732170,-118.360300,10,LACSD,Palos Verdes,A,Line 17
98,3002,33.722380,-118.363150,30,LACSD,Palos Verdes,B,Line 17
99,3003,33.714620,-118.365920,60,LACSD,Palos Verdes,C,Line 17
100,3004,33.700980,-118.371320,300,LACSD,Palos Verdes,D,Line 17
101,3005,33.684920,-118.381070,590,LACSD,Palos Verdes,E,Line 17
102,3006,33.666790,-118.390750,800,LACSD,Palos Verdes,F,Line 17
103,3051,33.736320,-118.394300,13,LACSD,Palos Verdes,A,Line 18
104,3052,33.733150,-118.400430,30,LACSD,Palos Verdes,B,Line 18
105,3053,33.729950,-118.402470,60,LACSD,Palos Verdes,C,Line 18
106,3054,33.718930,-118.410980,300,LACSD,Palos Verdes,D,Line 18
107,3055,33.704970,-118.421980,800,LACSD,Palos Verdes,E,Line 18
108,3056,33.689660,-118.433130,830,LACSD,Palos Verdes,F,Line 18
109,3101,33.771000,-118.430170,10,LACSD,Palos Verdes,A,Line 19
110,3102,33.764980,-118.435380,30,LACSD,Palos Verdes,B,Line 19
111,3103,33.757300,-118.441050,60,LACSD,Palos Verdes,C,Line 19
112,3104,33.745270,-118.449770,300,LACSD,Palos Verdes,D,Line 19
113,3105,33.728770,-118.461230,770,LACSD,Palos Verdes,E,Line 19
114,3106,33.712540,-118.475510,790,LACSD,Palos Verdes,F,Line 19
115,3201,33.854160,-118.406110,10,Hyperion,Santa Monica Bay,A,Line 20
116,3202,33.848610,-118.417780,30,Hyperion,Santa Monica Bay,B,Line 20
117,3203,33.845280,-118.426380,100,Hyperion,Santa Monica Bay,C,Line 20
118,3204,33.836950,-118.440550,100,Hyperion,Santa Monica Bay,D,Line 20
119,3205,33.823880,-118.463610,100,Hyperion,Santa Monica Bay,E,Line 20
120,3206,33.811100,-118.492780,100,Hyperion,Santa Monica Bay,F,Line 20
121,3301,33.893050,-118.427210,10,Hyperion,Santa Monica Bay,A,Line 21
122,3302,33.889160,-118.436380,20,Hyperion,Santa Monica Bay,B,Line 21
123,3303,33.885550,-118.446660,30,Hyperion,Santa Monica Bay,C,Line 21
124,3304,33.879450,-118.456950,45,Hyperion,Santa Monica Bay,D,Line 21
125,3305,33.868330,-118.493330,60,Hyperion,Santa Monica Bay,E,Line 21
126,3306,33.851110,-118.527210,80,Hyperion,Santa Monica Bay,F,Line 21
127,3401,33.902500,-118.432500,10,Hyperion,Santa Monica Bay,A,Line 22
128,3402,33.900000,-118.447210,20,Hyperion,Santa Monica Bay,B,Line 22
129,3403,33.901100,-118.460000,30,Hyperion,Santa Monica Bay,C,Line 22
130,3404,33.896930,-118.468600,45,Hyperion,Santa Monica Bay,D,Line 22
131,3405,33.887210,-118.506380,55,Hyperion,Santa Monica Bay,E,Line 22
132,3406,33.879160,-118.535550,60,Hyperion,Santa Monica Bay,F,Line 22
133,3501,33.931380,-118.448050,10,Hyperion,Santa Monica Bay,A,Line 23
134,3502,33.927760,-118.460260,20,Hyperion,Santa Monica Bay,B,Line 23
135,3503,33.923880,-118.472500,30,Hyperion,Santa Monica Bay,C,Line 23
136,3504,33.916660,-118.494160,45,Hyperion,Santa Monica Bay,D,Line 23
137,3505,33.909160,-118.525260,60,Hyperion,Santa Monica Bay,E,Line 23
138,3506,33.900000,-118.549710,80,Hyperion,Santa Monica Bay,F,Line 23
139,3601,33.959730,-118.466250,10,Hyperion,Santa Monica Bay,A,Line 24
140,3602,33.955550,-118.477760,20,Hyperion,Santa Monica Bay,B,Line 24
