Season,Agency,Date,Time,Station ID,Depth(m),Temperature(C),Conductivity (S/m),pH,Oxygen (mg/L),Transmissivity (%),Salinity (psu),Density (å-theta),Time (s),Descent rate (m/s),SBE DO sat (mg/L),SBE Beam C,Chl-a (ug/L),CDOM (ug/L),Ammonia-N (ug/L),Total Colif. (MPN),Fecal Colif. (MPN),E. coli (MPN),Enterococci (MPN),Void
Winter,OCSD,2/5/2008,707,1901,1,13.28,3.929,8.04,7.95,69.3,33.16,24.912,15.1,0.52,8.52,1.467,10.62,2.48,,,,,,99
Winter,OCSD,2/5/2008,707,1901,2,13.31,3.932,8.04,7.96,69.1,33.167,24.912,16.4,0.69,8.51,1.478,9.99,2.37,,,,,,99
Winter,OCSD,2/5/2008,707,1901,3,13.33,3.937,8.05,7.95,68.97,33.19,24.926,17.9,0.59,8.51,1.479,9.8,2.31,,,,,,99
Winter,OCSD,2/5/2008,707,1901,4,13.42,3.954,8.06,7.89,69.84,33.269,24.968,19.5,0.71,8.48,1.436,8,2.29,,,,,,99
Winter,OCSD,2/5/2008,707,1901,5,13.43,3.958,8.05,7.75,72,33.297,24.987,21.1,0.58,8.48,1.314,6.44,2.32,,,,,,99
Winter,OCSD,2/5/2008,707,1901,6,13.39,3.956,8.04,7.64,72.83,33.321,25.015,22.7,0.73,8.49,1.268,4.88,2.3,,,,,,99
Winter,OCSD,2/5/2008,707,1901,7,13.37,3.954,8.04,7.54,73.44,33.323,25.021,24.1,0.62,8.49,1.235,4.03,2.31,,,,,,99
Winter,OCSD,2/5/2008,707,1901,8,13.34,3.953,8.03,7.43,73.79,33.33,25.032,25.8,0.63,8.5,1.216,3.74,2.32,,,,,,99
Winter,OCSD,2/5/2008,707,1901,9,13.32,3.952,8.03,7.36,74.05,33.336,25.04,27.1,0.42,8.5,1.202,3.53,2.34,,,,,,99
Winter,OCSD,2/5/2008,717,1902,1,13.24,3.928,8.13,8.33,70.09,33.193,24.946,12.2,0.52,8.52,1.421,12.67,2.25,,,,,,99
Winter,OCSD,2/5/2008,717,1902,2,13.23,3.928,8.13,8.33,70.11,33.192,24.947,13.5,0.62,8.52,1.42,12.87,2.25,,,,,,99
Winter,OCSD,2/5/2008,717,1902,3,13.23,3.928,8.13,8.33,70.01,33.193,24.948,15,0.71,8.52,1.426,12.66,2.17,,,,,,99
Winter,OCSD,2/5/2008,717,1902,4,13.23,3.928,8.13,8.34,69.94,33.193,24.948,16.5,0.61,8.52,1.43,12.73,1.91,,,,,,99
Winter,OCSD,2/5/2008,717,1902,5,13.28,3.934,8.13,8.35,70.27,33.211,24.953,18,0.8,8.51,1.411,12.66,1.72,,,,,,99
Winter,OCSD,2/5/2008,717,1902,6,13.41,3.955,8.13,8.32,70.54,33.293,24.99,19.4,0.64,8.49,1.396,10.02,1.67,,,,,,99
Winter,OCSD,2/5/2008,717,1902,7,13.44,3.963,8.12,8.25,74.64,33.333,25.014,21,0.66,8.48,1.171,7.35,1.64,,,,,,99
Winter,OCSD,2/5/2008,717,1902,8,13.44,3.963,8.12,8.18,78.45,33.337,25.017,22.5,0.62,8.48,0.971,6.15,1.66,,,,,,99
