Season,Agency,Date,Time,Station ID,Field Rep,Depth(m),Time (s),Descent rate (m/s),Temperature (°C),Conductivity (S/m),Salinity (psu),Density (å-theta),pH,Oxygen (mg/L),SBE DO sat (mg/L),SBE DO sat (%),Transmissivity (%),SBE Beam C,Chl-a (ug/L),Voltage-Chl-a,Chl-a (ug/L) USC/UCLA,Chl-a (ug/L) ECO,CDOM (ug/L),Voltage-CDOM,Irradiance,Surface Irradiance,Irradiance (% Norm),delta T,Stability (E),Qual_NH3,Ammonia-N (ug/L),Qual_TC,Total Colif. (MPN),Qual_FC,Fecal Colif. (MPN),Qual_EC,E. coli (MPN),Qual_ENT,Enterococci (MPN)
Winter,Hyperion,2/3/2015,12:49:00,3901,1,1,121,0.49,16.68,4.263,33.297,24.283,7.93,7.93,7.94,99.73,85.09,0.645,0.22,0.1036,-1,0.02,0.42,0.0928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,Hyperion,2/3/2015,12:49:00,3901,1,2,122.3,0.7,16.67,4.263,33.296,24.283,7.93,7.93,7.94,99.68,85.99,0.604,0.22,0.1028,-1,0.07,0.42,0.0926,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,Hyperion,2/3/2015,12:49:00,3901,1,3,123.8,0.67,16.47,4.244,33.292,24.326,7.93,7.93,7.98,99.37,86.34,0.588,0.24,0.1062,-1,0.17,0.45,0.0937,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,Hyperion,2/3/2015,12:49:00,3901,1,4,125.3,0.67,16.36,4.233,33.294,24.354,7.93,7.92,7.99,98.93,86.38,0.586,0.32,0.1201,-1,0.32,0.49,0.0966,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,Hyperion,2/3/2015,12:49:00,3901,1,5,126.7,0.75,16.34,4.231,33.293,24.357,7.93,7.9,8,98.7,86.27,0.592,0.43,0.1388,-1,0.4,0.53,0.098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,Hyperion,2/3/2015,12:49:00,3901,1,6,128.2,0.6,16.33,4.23,33.293,24.36,7.93,7.91,8,98.82,84.57,0.67,0.5,0.1505,-1,0.62,0.58,0.1015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,Hyperion,2/3/2015,12:49:00,3901,1,7,129.8,0.62,16.31,4.228,33.293,24.364,7.93,7.88,8,98.37,83.17,0.74,0.73,0.19,-1,0.55,0.6,0.1034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,Hyperion,2/3/2015,12:49:00,3901,1,8,132.39999,0.29,16.3,4.227,33.293,24.367,7.93,7.89,8,98.51,78.43,0.972,0.87,0.214,-1,0.67,0.62,0.1045,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,Hyperion,2/3/2015,12:49:00,3901,1,9,136.10001,0.23,16.28,4.225,33.293,24.373,7.93,7.9,8.01,98.61,77.33,1.028,1.05,0.2442,-1,0.74,0.64,0.1058,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,Hyperion,2/3/2015,13:00:00,3902,1,1,70.9,0.23,16.66,4.261,33.295,24.285,7.93,7.9,7.95,99.28,87.99,0.51,0.14,0.0897,-1,17.27,0.31,0.0859,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
