Sort,Season,Agency,Date,Time,Station ID,Field rep,Depth (m),Time (seconds),Descent rate (m/s),Temperature (øC),Conductivity (S/m),Salinity (psu),Density (kg/m?),pH (pH units),Dissolved Oxygen (mg/L),Oxygen Saturation (mg/L),Oxygen Saturation (%),Light Transmission (%),Beam C (1/m),Chlorophyll-a (æg/L) WET,Chlorophyll-a Voltage (V) WET,Chlorophyll-a (æg/L) ECO,Chlorophyll-a Voltage (V) ECO,CDOM (ug/L) WET,CDOM Voltage (V) WET,CDOM (ug/L) ECO,CDOM Voltage (V) ECO,CDOM (ug/L) Turner,CDOM Voltage (V) Turner,Surface Irradiance (æE/cmýúsec),Irradiance (æE/cmýúsec),Normalized Irradiance (%),delta-T (øC/m),Stability (kg/m?/m),Qual_NH3,Ammonia-N (mg/L),Qual_TC,Total coliforms (MPN/100mL),Qual_FC,Fecal coliforms (MPN/100mL),Qual_EC,E. coli (MPN/100mL),Qual_ENT,Enterococci (MPN/100mL),Disacrete Chl-a (ug/L)
1,Winter,Oxnard,02/06/2016,09:16,4701,1,1.0,85.6,0.89,13.48,3.994,33.600,25.213,8.07,7.48,8.46,88.43,33.49,4.963,0.16,1.5347,,,0.80,,,,,,,,,0.01,0.002,,,,,,,,,,,
2,Winter,Oxnard,02/06/2016,09:16,4701,1,2.0,86.9,0.92,13.47,3.994,33.601,25.215,8.07,7.47,8.46,88.31,41.42,3.599,0.15,1.3566,,,0.21,,,,,,,,,0.01,0.002,,,,,,,,,,,
3,Winter,Oxnard,02/06/2016,09:16,4701,1,3.0,88.3,1.09,13.46,3.993,33.602,25.217,8.07,7.51,8.46,88.69,42.54,3.423,0.13,1.1240,,,0.06,,,,,,,,,0.00,0.000,,,,,,,,,,,
4,Winter,Oxnard,02/06/2016,09:16,4701,1,4.0,89.8,0.96,13.46,3.993,33.601,25.217,8.07,7.52,8.46,88.86,42.39,3.433,0.13,1.1065,,,0.05,,,,,,,,,0.01,0.003,,,,,,,,,,,
5,Winter,Oxnard,02/06/2016,09:16,4701,1,5.0,91.3,0.97,13.45,3.992,33.602,25.220,8.07,7.47,8.46,88.20,42.72,3.402,0.15,1.3834,,,0.04,,,,,,,,,0.01,0.002,,,,,,,,,,,
6,Winter,Oxnard,02/06/2016,09:16,4701,1,6.0,92.7,1.09,13.44,3.991,33.602,25.222,8.07,7.42,8.46,87.66,42.28,3.444,0.17,1.6182,,,0.04,,,,,,,,,0.01,0.002,,,,,,,,,,,
7,Winter,Oxnard,02/06/2016,09:16,4701,1,7.0,94.1,0.96,13.43,3.990,33.602,25.224,8.07,7.40,8.47,87.35,41.96,3.474,0.17,1.6737,,,0.04,,,,,,,,,0.01,0.001,,,,,,,,,,,
8,Winter,Oxnard,02/06/2016,09:16,4701,1,8.0,95.7,0.91,13.42,3.990,33.602,25.225,8.07,7.44,8.47,87.86,42.00,3.470,0.17,1.6793,,,0.04,,,,,,,,,0.00,0.001,,,,,,,,,,,
9,Winter,Oxnard,02/06/2016,09:16,4701,1,9.0,97.0,0.49,13.42,3.989,33.601,25.226,8.07,7.45,8.47,87.96,41.63,3.505,0.17,1.6372,,,0.04,,,,,,,,,,,,,,,,,,,,,
10,Winter,Oxnard,02/06/2016,08:58,4702,1,1.0,86.9,0.55,13.64,4.009,33.592,25.173,8.08,6.83,8.43,80.97,36.55,4.098,0.19,1.9158,,,0.04,,,,,,,,,0.00,0.000,,,,,,,,,,,
