Season,Agency,Date,Time,Station,Field Rep,Depth [m],Time [s],Descent rate [m/s],Temperature [°C],Conductivity [S/m],Salinity [psu],Density [~$s~#~_t],pH,Oxygen [mg/L],SBE DO sat [mg/L],SBE DO sat [%],Transmissivity [%],SBE Beam C [1/m],Chl-a [~$m~#g/L],Voltage-Chl-a [V],Chl-a USC/UCLA [~$m~#g/L],Chl-a ECO [~$m~#g/L],CDOM [~$m~#g/L],Voltage-CDOM [V],Irradiance [µE/cm²·sec],Surface Irradiance [µE/cm²·sec],Irradiance [% Norm],delta T [°C/m],Stability [kg/m³/m],Qual_NH3,Ammonia-N [mg/L],Qual_TC,Total Colif. [MPN/100mL],Qual_FC,Fecal Colif. [MPN/100mL],Qual_EC,E. coli [MPN/100mL],Qual_ENT,Enterococci [MPN/100mL]
Summer,Hyperion,8/2/2016,13:17:00,3901,1,1,148.2,-1,21.6,4.772,33.547,23.225,8.2,8.26,7.23,113.93,81.82,0.803,0.9,0.2377,-1,-0.19,1.61,0.1464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:17:00,3901,1,2,151,-1,21.66,4.774,33.519,23.188,8.2,8.15,7.22,112.64,82.09,0.789,0.91,0.2395,-1,-0.21,1.57,0.1441,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:17:00,3901,1,3,153.2,-1,21.07,4.715,33.514,23.344,8.2,8.17,7.3,111.64,82.4,0.774,0.8,0.2193,-1,-0.21,1.62,0.1471,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:17:00,3901,1,4,155.60001,-1,20.8,4.689,33.515,23.417,8.19,8.08,7.34,109.84,82.34,0.777,0.78,0.2159,-1,-0.19,1.73,0.1533,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:17:00,3901,1,5,158.3,-1,20.71,4.68,33.515,23.441,8.18,7.88,7.35,106.98,81.47,0.82,0.8,0.219,-1,-0.16,1.87,0.1612,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:17:00,3901,1,6,161.60001,-1,20.62,4.671,33.513,23.463,8.16,7.74,7.36,104.93,79.32,0.927,1,0.2561,-1,-0.13,2.03,0.1699,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:17:00,3901,1,7,164.5,-1,20.33,4.641,33.501,23.532,8.16,7.86,7.4,105.97,74.89,1.157,1.19,0.2902,-1,-0.11,2.09,0.1731,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:17:00,3901,1,8,167.60001,-1,20.06,4.614,33.502,23.605,8.17,7.93,7.44,106.45,75.17,1.142,1.36,0.3209,-1,-0.07,2.08,0.1727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:17:00,3901,1,9,172,-1,19.64,4.573,33.491,23.704,8.16,8.05,7.5,107.16,77.3,1.03,1.6,0.3646,-1,-0.07,2.11,0.1743,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,1,116.9,-1,21.66,4.777,33.545,23.206,8.2,8.34,7.22,115.28,83.48,0.722,0.84,0.2262,-1,-0.21,1.48,0.1394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,2,121.5,-1,21.69,4.78,33.547,23.202,8.2,8.35,7.22,115.43,83.54,0.719,0.84,0.2264,-1,-0.17,1.48,0.1394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,3,123.9,-1,21.8,4.792,33.554,23.176,8.2,8.32,7.2,115.23,83.71,0.711,0.86,0.2304,-1,-0.19,1.48,0.1392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,4,126.6,-1,21.73,4.783,33.535,23.18,8.2,8.28,7.21,114.56,83.76,0.709,0.88,0.2347,-1,-0.2,1.47,0.1389,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,5,129.10001,-1,21.27,4.735,33.519,23.294,8.2,8.36,7.27,114.66,83.75,0.71,0.85,0.2277,-1,-0.19,1.5,0.1403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,6,131.5,-1,20.87,4.698,33.531,23.411,8.2,8.38,7.33,114.12,83.44,0.724,0.89,0.2358,-1,-0.17,1.53,0.1422,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,7,134,-1,20.75,4.685,33.527,23.442,8.2,8.32,7.34,113.11,83,0.745,1.05,0.2652,-1,-0.15,1.56,0.1437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,8,136.60001,-1,20.61,4.671,33.522,23.474,8.19,8.23,7.36,111.56,82.32,0.778,1.15,0.2831,-1,-0.1,1.64,0.1482,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,9,139.10001,-1,20.51,4.661,33.515,23.494,8.19,7.96,7.38,107.74,81.33,0.827,1.47,0.3413,-1,-0.04,1.76,0.1549,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,10,141.39999,-1,20.15,4.622,33.489,23.57,8.17,8.2,7.43,110.25,80.31,0.877,1.64,0.3728,-1,-0.02,1.88,0.1616,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,11,143.8,-1,19.72,4.581,33.494,23.685,8.17,8.32,7.49,110.95,78.6,0.963,1.89,0.4174,-1,-0.01,1.97,0.1663,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,12,146.3,-1,18.97,4.507,33.49,23.876,8.16,8.29,7.59,108.94,80.87,0.85,2.13,0.4609,-1,0.03,2.01,0.1687,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,13,148.5,-1,18.34,4.439,33.431,23.986,8.16,8.33,7.69,108.18,81.77,0.805,2.39,0.5082,-1,0.07,2.07,0.1723,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,14,150.8,-1,17.37,4.349,33.459,24.244,8.15,8.36,7.83,106.6,81.54,0.816,2.64,0.5535,-1,0.2,2.11,0.1745,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,15,153.2,-1,16.68,4.28,33.439,24.392,8.14,8.22,7.94,103.41,81.64,0.811,3.42,0.6958,-1,0.23,2.16,0.177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,16,155.5,-1,16.38,4.254,33.452,24.471,8.13,8.18,7.98,102.32,80.3,0.878,3.79,0.7629,-1,0.19,2.23,0.181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Summer,Hyperion,8/2/2016,13:28:00,3902,1,17,157.8,-1,16.31,4.246,33.449,24.485,8.13,7.97,7.99,99.53,78.82,0.952,3.71,0.7478,-1,0.21,2.29,0.1844,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
