Season,Agency,Date,Time,Station ID,Field Rep,Depth [m],Time [s],Descent rate [m/s],Temperature [°C],Conductivity [S/m],Salinity [psu],Density (å-theta),pH,Oxygen [mg/L],SBE DO sat [mg/L],SBE DO sat [%],Transmissivity [%],SBE Beam C [1/m],Chl-a [ug/L],Voltage-Chl-a [V],CDOM [ug/L],Voltage-CDOM [V],Ammonia-N [mg/L],Total Colif. [MPN/100mL],E. coli [MPN/100mL],Enterococci [MPN/100mL]
Winter,Hyperion,3/21/2017,12:29:00,4001,1,1,106.1,0.69,15.42,4.146,33.315,24.581,8.13,8.81,8.14,108.09,87.82,0.13,0.56,0.1737,0.61,0.1549,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,2,107.7,0.62,15.41,4.145,33.315,24.583,8.13,8.83,8.15,108.3,87.76,0.131,0.57,0.184,0.61,0.1543,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,3,109.2,0.72,15.4,4.144,33.314,24.585,8.13,8.84,8.15,108.36,87.68,0.132,0.58,0.189,0.61,0.1549,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,4,110.7,0.59,15.4,4.144,33.315,24.586,8.13,8.85,8.15,108.56,87.63,0.132,0.63,0.1857,0.61,0.1546,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,5,112.3,0.7,15.39,4.143,33.314,24.588,8.13,8.86,8.15,108.65,87.5,0.134,0.71,0.1955,0.61,0.1552,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,6,113.7,0.77,15.36,4.141,33.313,24.593,8.13,8.87,8.15,108.67,87.11,0.138,0.69,0.2097,0.61,0.1563,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,7,115.1,0.63,15.31,4.136,33.312,24.602,8.13,8.9,8.16,108.92,86.41,0.146,0.7,0.23,0.62,0.1584,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,8,116.7,0.67,15.27,4.132,33.31,24.611,8.13,8.9,8.17,108.85,85.66,0.155,0.76,0.2525,0.64,0.1624,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,9,118.2,0.67,15.21,4.126,33.308,24.621,8.13,8.9,8.18,108.67,84.64,0.167,0.85,0.2898,0.67,0.1667,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,10,119.7,0.7,15.17,4.122,33.307,24.629,8.13,8.82,8.18,107.66,84.01,0.174,0.98,0.3215,0.71,0.1703,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,11,121.1,0.69,15.11,4.116,33.305,24.642,8.13,8.64,8.2,105.38,83.51,0.18,1.11,0.3344,0.75,0.1739,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,12,122.7,0.62,14.9,4.097,33.307,24.688,8.12,8.45,8.23,102.66,83.24,0.183,1.34,0.3767,0.78,0.179,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,13,124.3,0.67,14.53,4.062,33.312,24.772,8.1,8.42,8.29,101.51,83.04,0.186,1.46,0.4463,0.82,0.1873,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,14,125.6,0.81,14.36,4.047,33.317,24.813,8.09,8.44,8.32,101.3,83.43,0.181,1.59,0.4539,0.88,0.1897,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,15,127.2,0.54,14.25,4.037,33.32,24.838,8.08,8.42,8.34,100.94,83.62,0.179,1.85,0.4549,0.93,0.1919,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,16,129.8,0.31,14.19,4.031,33.315,24.845,8.08,8.22,8.35,98.38,83.71,0.178,2.22,0.4459,0.96,0.1937,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,17,133.5,0.15,13.72,3.988,33.323,24.948,8.07,7.99,8.43,94.76,84.11,0.173,2.15,0.4573,1,0.2013,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,1,133.3,0.63,15.57,4.162,33.329,24.559,8.13,8.73,8.12,107.37,89.05,0.116,0.46,0.1495,0.57,0.1498,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,2,134.7,0.73,15.56,4.161,33.329,24.56,8.13,8.75,8.12,107.68,88.98,0.117,0.47,0.1523,0.56,0.1501,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,3,136.2,0.62,15.55,4.16,33.329,24.563,8.13,8.75,8.12,107.59,89.01,0.116,0.49,0.1568,0.57,0.1498,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,4,137.7,0.73,15.55,4.16,33.329,24.563,8.13,8.77,8.12,107.83,88.94,0.117,0.48,0.1621,0.57,0.1504,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,5,139.2,0.63,15.55,4.16,33.329,24.564,8.13,8.76,8.12,107.74,88.9,0.118,0.51,0.1668,0.57,0.1501,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,6,140.7,0.76,15.54,4.16,33.329,24.565,8.13,8.75,8.12,107.64,88.9,0.118,0.53,0.1682,0.57,0.1499,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,7,142.10001,0.7,15.52,4.158,33.328,24.568,8.13,8.77,8.13,107.81,88.74,0.119,0.56,0.1768,0.57,0.1498,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,8,143.5,0.68,15.41,4.145,33.318,24.587,8.13,8.83,8.15,108.28,87.56,0.133,0.58,0.2092,0.56,0.153,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,9,145,0.72,15.02,4.108,33.307,24.663,8.13,8.88,8.21,108.09,85.06,0.162,0.6,0.3082,0.57,0.1651,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,10,146.39999,0.68,14.82,4.089,33.307,24.707,8.13,8.84,8.24,107.21,83.54,0.18,0.65,0.4082,0.66,0.1743,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,11,147.89999,0.7,14.76,4.083,33.308,24.72,8.12,8.77,8.25,106.12,83.09,0.185,0.91,0.4664,0.77,0.1788,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,12,149.2,0.79,14.65,4.073,33.306,24.741,8.12,8.67,8.27,104.76,82.96,0.187,1.51,0.5093,0.82,0.1825,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,13,150.60001,0.68,14.34,4.045,33.309,24.809,8.11,8.64,8.32,103.72,82.61,0.191,1.98,0.6148,0.85,0.1877,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,14,152,0.73,13.98,4.011,33.313,24.888,8.1,8.64,8.39,102.98,82.05,0.198,2.29,0.8475,0.9,0.194,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,15,153.5,0.67,13.86,4.001,33.32,24.917,8.09,8.53,8.4,101.4,81.35,0.206,2.52,0.8077,0.95,0.1973,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,16,154.89999,0.8,13.79,3.994,33.319,24.932,8.09,8.42,8.42,99.96,81.46,0.205,3.35,0.873,1,0.2001,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,17,156.3,0.65,13.71,3.987,33.325,24.954,8.08,8.19,8.43,97.07,81.82,0.201,4.35,0.8718,1.02,0.2014,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,18,157.8,0.68,13.61,3.978,33.326,24.975,8.07,7.84,8.45,92.7,82.15,0.197,4.23,0.7778,1.04,0.2046,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,19,159.3,0.67,13.47,3.966,33.331,25.006,8.05,7.46,8.47,88.06,83.05,0.186,4.54,0.7245,1.06,0.2083,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,20,160.8,0.7,13.28,3.949,33.34,25.052,8.02,7.18,8.51,84.38,83.56,0.18,4.39,0.5911,1.09,0.2128,NaN,NaN,NaN,NaN
