Season,Agency,Date,Time,Station ID,Field Rep,Depth(m),Time (s),Descent rate (m/s),Temperature (øC),Conductivity (S/m),Salinity (psu),Density (å-theta),pH,Oxygen (mg/L),SBE DO sat (mg/L),SBE DO sat (%),Transmissivity (%),SBE Beam C,Chl-a (ug/L),Voltage-Chl-a,Chl-a (ug/L) USC/UCLA,Chl-a (ug/L) ECO,CDOM (ug/L),Voltage-CDOM,Irradiance,Surface Irradiance,Irradiance (% Norm),delta T,Stability (E),Qual_NH3,Ammonia-N (ug/L),Qual_TC,Total Colif. (MPN),Qual_FC,Fecal Colif. (MPN),Qual_EC,E. coli (MPN),Qual_ENT,Enterococci (MPN)
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,1,25.7,0.17,14.95,4.083,33.146,24.554,8.09,8.19,8.23,99.48,83.15,0.185,1.12,0.2636,-1,-1,0.68,0.162,-1,-1,-1,-1,-1,E,0.004,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,2,28.1,1,14.95,4.083,33.147,24.554,8.08,8.14,8.23,98.84,82.94,0.187,1.24,0.2846,-1,-1,0.88,0.1836,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,3,29,1.21,14.83,4.072,33.147,24.58,8.08,8.14,8.25,98.58,82.43,0.193,1.42,0.3168,-1,-1,0.71,0.1652,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,4,29.9,1.09,14.85,4.074,33.148,24.577,8.08,8.11,8.25,98.33,82.4,0.194,1.55,0.34,-1,-1,0.7,0.1644,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,5,30.9,0.93,14.8,4.07,33.148,24.587,8.08,8.09,8.25,97.99,81.68,0.202,1.77,0.3793,-1,-1,0.72,0.166,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,6,32,1.02,14.76,4.066,33.145,24.594,8.08,8.1,8.26,97.93,80.9,0.212,2.04,0.4276,-1,-1,0.74,0.169,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,7,32.9,1.23,14.73,4.062,33.142,24.599,8.08,8.11,8.27,98.02,80.76,0.214,2.28,0.4695,-1,-1,0.76,0.171,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,8,33.6,1.39,14.71,4.06,33.138,24.599,8.08,8.1,8.27,97.9,80.4,0.218,2.37,0.4863,-1,-1,0.78,0.1729,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,9,34.3,1.42,14.7,4.059,33.136,24.599,8.08,8.09,8.27,97.68,80.35,0.219,2.46,0.5003,-1,-1,0.79,0.1742,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,10,35.1,1.06,14.71,4.06,33.136,24.599,8.08,8.08,8.27,97.57,80.38,0.218,2.42,0.4961,-1,-1,0.8,0.1746,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,11,36.3,0.75,14.71,4.06,33.137,24.599,8.08,8.07,8.27,97.52,80.38,0.218,2.46,0.5029,-1,-1,0.8,0.1747,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,12,37.5,1.26,14.69,4.058,33.133,24.6,8.07,8.08,8.27,97.6,80,0.223,2.52,0.5125,-1,-1,0.81,0.1759,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,13,38.2,1.41,14.67,4.056,33.131,24.602,8.07,8.08,8.28,97.58,79.78,0.226,2.48,0.5051,-1,-1,0.82,0.1774,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,14,40.5,0.27,14.68,4.057,33.132,24.601,8.07,8.09,8.27,97.72,79.79,0.226,2.39,0.4889,-1,-1,0.82,0.1771,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,15,40.9,0.23,14.68,4.057,33.132,24.601,8.07,8.1,8.28,97.81,79.7,0.227,2.35,0.484,-1,-1,0.82,0.1775,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,1,24.4,0.19,15,4.087,33.139,24.539,8.08,8.19,8.22,99.5,83.57,0.179,0.91,0.2257,-1,-1,0.72,0.1662,-1,-1,-1,-1,-1,E,0.009,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,2,26.9,0.85,15.06,4.091,33.127,24.515,8.08,8.09,8.21,98.43,83.99,0.175,0.9,0.2237,-1,-1,0.7,0.1638,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,3,27.9,1.2,14.99,4.086,33.138,24.539,8.08,8.1,8.22,98.46,83.62,0.179,1.02,0.2454,-1,-1,0.71,0.1656,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,4,28.7,1.4,14.82,4.073,33.159,24.591,8.08,8.15,8.25,98.69,83.08,0.185,1.19,0.2754,-1,-1,0.74,0.1684,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,5,29.4,1.49,14.74,4.066,33.166,24.613,8.07,8.15,8.26,98.56,83,0.186,1.34,0.302,-1,-1,0.75,0.1699,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,6,30.1,1.28,14.73,4.065,33.165,24.616,8.07,8.09,8.27,97.75,82.91,0.187,1.42,0.3156,-1,-1,0.76,0.171,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
