Season,Agency,Date,Time,Station,Field Rep,Depth [m],Time [s],Descent rate [m/s],Temperature [°C],Conductivity [S/m],Salinity [psu],Density (å-theta),pH,Oxygen [mg/L],SBE DO sat [mg/L],SBE DO sat [%],Transmissivity [%],SBE Beam C [1/m],Chl-a [ug/L],Voltage-Chl-a [V],CDOM [ug/L],Voltage-CDOM [V],Ammonia-N [mg/L],Total Colif. [MPN/100mL],E. coli [MPN/100mL],Enterococci [MPN/100mL]
Winter,Hyperion,3/12/2018,12:25:00,4001,1,1,106.2,0.61,15.24,4.119,33.228,24.554,8.24,8.9,8.18,108.73,77.9,0.999,0.9,0.2595,0.47,0.133,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,2,107.6,0.76,15.22,4.118,33.235,24.565,8.24,8.87,8.18,108.32,78.32,0.977,1.02,0.2832,0.46,0.1326,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,3,109.1,0.58,15.13,4.113,33.267,24.609,8.24,8.82,8.19,107.59,78.17,0.985,1.14,0.3078,0.44,0.1307,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,4,110.8,0.61,15.04,4.109,33.297,24.65,8.24,8.76,8.21,106.65,78.56,0.965,1.42,0.3644,0.37,0.1259,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,5,112.4,0.69,14.92,4.101,33.332,24.704,8.24,8.74,8.23,106.17,79.01,0.942,1.59,0.3989,0.3,0.121,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,6,113.8,0.71,14.78,4.091,33.362,24.756,8.24,8.75,8.25,106.05,79.33,0.926,1.35,0.3503,0.26,0.1181,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,7,115.3,0.68,14.71,4.087,33.38,24.786,8.25,8.73,8.26,105.58,80.45,0.87,1.15,0.3094,0.24,0.1171,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,8,116.8,0.69,14.68,4.085,33.388,24.798,8.25,8.62,8.26,104.2,81.71,0.808,1.14,0.3075,0.23,0.1161,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,9,118.1,0.78,14.5,4.07,33.414,24.858,8.25,8.56,8.29,103.1,82.29,0.779,1.03,0.2864,0.2,0.1144,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,10,119.5,0.68,14.31,4.055,33.435,24.913,8.25,8.5,8.32,102.04,83.01,0.745,0.9,0.2599,0.2,0.1143,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,11,121.1,0.59,14.22,4.048,33.442,24.937,8.24,8.47,8.34,101.58,83.59,0.717,0.89,0.259,0.21,0.1148,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,12,122.5,1.01,14.03,4.031,33.459,24.991,8.24,8.53,8.37,101.84,83.76,0.709,0.75,0.2302,0.21,0.1148,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,13,123.8,0.63,13.71,4.004,33.486,25.077,8.25,8.54,8.42,101.29,83.91,0.702,0.8,0.2409,0.22,0.1154,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,14,125.4,0.68,13.54,3.99,33.507,25.129,8.25,8.57,8.45,101.33,84.12,0.692,0.77,0.2344,0.22,0.1156,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,15,126.7,0.84,13.52,3.99,33.509,25.133,8.25,8.56,8.45,101.21,84.76,0.662,0.8,0.2392,0.23,0.1162,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,16,128.10001,0.62,13.52,3.989,33.51,25.135,8.25,8.56,8.45,101.15,84.64,0.667,0.78,0.2353,0.23,0.1161,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,17,129.89999,0.55,13.51,3.989,33.512,25.138,8.25,8.56,8.46,101.12,84.93,0.654,0.79,0.2379,0.22,0.1156,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,18,132.5,0.28,13.5,3.988,33.514,25.141,8.25,8.55,8.46,101.02,84.94,0.653,0.77,0.2333,0.22,0.1158,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,1,109.4,0.5,15.16,4.093,33.06,24.442,8.26,9.21,8.2,112.18,80.32,0.877,0.49,0.1771,0.71,0.1502,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,2,111,0.61,14.91,4.081,33.16,24.574,8.27,9.33,8.24,113.2,81.54,0.816,0.5,0.1795,0.61,0.1433,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,3,113,0.44,14.83,4.084,33.257,24.666,8.27,9.26,8.24,112.26,82,0.794,0.43,0.1668,0.45,0.1317,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,4,115.1,0.61,14.86,4.093,33.313,24.702,8.27,9.21,8.24,111.68,83.69,0.712,0.83,0.2456,0.31,0.1219,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,5,116.7,0.61,14.87,4.094,33.319,24.705,8.27,9.13,8.23,110.75,83.6,0.717,1.34,0.3476,0.31,0.1216,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,6,118.3,0.65,14.88,4.097,33.329,24.709,8.27,8.94,8.23,108.58,82.47,0.771,1.64,0.408,0.3,0.1215,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,7,119.9,0.67,14.88,4.099,33.351,24.727,8.27,8.96,8.23,108.78,81.7,0.809,1.61,0.4027,0.29,0.1204,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,8,121.5,0.58,14.49,4.069,33.41,24.856,8.27,8.99,8.29,108.27,81.72,0.807,0.98,0.2754,0.14,0.1097,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,9,123.1,0.7,14.36,4.06,33.438,24.906,8.27,8.92,8.31,107.24,82.82,0.754,0.9,0.2607,0.11,0.1077,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,10,124.3,0.94,14.26,4.054,33.47,24.95,8.27,9,8.33,108.03,84.26,0.685,0.83,0.246,0.13,0.1088,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,11,125.6,0.62,14.01,4.033,33.485,25.013,8.27,9.11,8.37,108.71,85.13,0.644,0.75,0.2304,0.15,0.1104,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,12,127.4,0.59,13.92,4.024,33.486,25.034,8.27,9.26,8.39,110.33,85.66,0.619,0.73,0.2269,0.13,0.1094,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,13,128.8,0.89,13.79,4.012,33.486,25.062,8.27,9.34,8.41,111.05,86.21,0.594,0.65,0.2093,0.12,0.1082,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,14,130,0.71,13.62,3.997,33.502,25.109,8.28,9.27,8.44,109.81,86.51,0.58,0.75,0.2296,0.14,0.11,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,15,131.60001,0.61,13.59,3.996,33.513,25.124,8.28,9.02,8.44,106.72,86.17,0.595,0.82,0.2437,0.16,0.111,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,16,133,0.98,13.52,3.991,33.519,25.141,8.28,8.71,8.45,102.97,85.74,0.616,0.73,0.2263,0.17,0.1121,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,17,134.5,0.53,13.36,3.975,33.521,25.176,8.28,8.48,8.48,99.89,85.67,0.619,0.82,0.2435,0.21,0.115,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,18,136.10001,0.71,13.26,3.966,33.522,25.197,8.27,8.32,8.5,97.86,85.74,0.615,1.01,0.2829,0.25,0.1174,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,19,137.39999,0.87,13.21,3.961,33.524,25.209,8.26,8.28,8.51,97.25,86.01,0.603,1.36,0.3519,0.23,0.1163,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,20,138.8,0.61,13.19,3.961,33.525,25.212,8.25,8.21,8.51,96.47,85.58,0.623,1.48,0.3766,0.24,0.1166,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,21,140.3,0.75,13.18,3.959,33.525,25.215,8.24,8.09,8.51,94.96,85.58,0.623,1.62,0.4031,0.23,0.1164,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,22,141.7,0.73,13.14,3.956,33.525,25.223,8.24,7.98,8.52,93.6,85.39,0.632,1.45,0.3707,0.23,0.1162,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,23,143.2,0.63,13.11,3.953,33.526,25.23,8.23,7.77,8.53,91.14,85.3,0.636,1.72,0.4249,0.23,0.1165,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,24,144.60001,0.94,13.07,3.949,33.525,25.238,8.23,7.55,8.53,88.49,84.9,0.655,1.82,0.4443,0.23,0.116,NaN,NaN,NaN,NaN
