Season,Agency,Date,Time,Station ID,Field Rep,Depth,Time (seconds),Descent rate (m/s),Temperature (Deg C),Conductivity (S/m),Salinity (psu),Density,pH,Oxygen (mg/L),SBE DO Sat (mg/L),SBE DO Sat (%),% T,SBE Beam C,Chl-a (ug/L) WET,Voltage (Chl-a) WET,Chl-a (ug/L) USC/UCLA,Chl-a (ug/L) ECO,CDOM (ug/L) WET,Voltage (CDOM) WET,Irradiance,Surface Irradiance,Irradiance (% Norm),delta-T,Stability (E),Qual_NH3,Ammonia (mg/L),Qual_TC,Total Colif. (MPN),Qual_FC,Fecal Colif. (MPN),Qual_EC,E. coli (MPN),Qual_ENT,Enterococci (MPN)
Winter,LACSD,2/6/18, 09:20:00,3101,1,1,28.5,0.31,15.2,4.14,33.444,24.729,8.13,8.24,8.17,100.74,81.01,0.211,1.52,0.3389,,,1.23,0.2246,-1,-1,-1,-1,-1,E,0.011,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,2,30.7,0.94,15.26,4.146,33.45,24.721,8.13,8.22,8.16,100.55,81.3,0.207,1.27,0.2931,,,1.24,0.2258,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,3,31.8,0.84,15.26,4.146,33.45,24.72,8.13,8.09,8.16,99.07,80.69,0.214,1.36,0.3114,,,1.24,0.2256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,4,33.1,0.8,15.21,4.141,33.449,24.731,8.13,8.03,8.17,98.19,80.79,0.213,1.6,0.3514,,,1.24,0.2249,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,5,34.3,0.8,15.13,4.134,33.449,24.748,8.12,8.04,8.18,98.13,81.68,0.202,1.8,0.3877,,,1.24,0.2255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,6,35.6,0.84,15.1,4.131,33.451,24.756,8.12,8.12,8.19,99.11,82.09,0.197,1.89,0.4046,,,1.23,0.224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,7,36.7,0.93,15.06,4.127,33.448,24.764,8.12,8.2,8.2,99.9,81.57,0.204,2.24,0.467,,,1.21,0.2224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,8,37.8,0.92,15.03,4.124,33.443,24.765,8.12,8.22,8.2,100.12,80.56,0.216,2.81,0.5704,,,1.17,0.2173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,9,38.9,0.81,15.01,4.121,33.439,24.767,8.13,8.19,8.21,99.77,79.65,0.227,3.55,0.701,,,1.15,0.2153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,10,40.1,0.92,14.99,4.12,33.437,24.769,8.12,8.12,8.21,98.89,79.65,0.227,3.94,0.7669,,,1.14,0.2142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,11,41.1,0.98,15,4.12,33.438,24.769,8.12,8,8.21,97.34,80.23,0.22,3.57,0.7042,,,1.14,0.2149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,12,42.3,0.87,15,4.121,33.442,24.77,8.12,7.9,8.21,96.15,80.95,0.211,3,0.6017,,,1.16,0.2169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,13,43.4,0.97,15,4.121,33.447,24.776,8.12,7.86,8.21,95.75,82.56,0.192,2.36,0.4897,,,1.19,0.22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,14,44.4,1.09,14.96,4.117,33.445,24.783,8.11,7.87,8.21,95.72,82.97,0.187,1.92,0.4117,,,1.19,0.2202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,15,45.3,1,14.91,4.113,33.443,24.791,8.11,7.9,8.22,95.98,83.34,0.182,1.71,0.373,,,1.17,0.2175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,16,46.4,0.9,14.88,4.11,33.441,24.796,8.1,7.92,8.23,96.23,83.51,0.181,1.71,0.3727,,,1.16,0.2171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,17,47.5,0.81,14.9,4.111,33.441,24.794,8.1,7.91,8.22,96.06,83.08,0.185,1.85,0.3978,,,1.16,0.2172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,18,48.9,0.65,14.89,4.111,33.441,24.794,8.11,7.92,8.22,96.27,82.8,0.189,1.95,0.4143,,,1.17,0.2176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,19,50,0.45,14.86,4.108,33.44,24.799,8.11,7.93,8.23,96.34,82.74,0.19,1.85,0.3977,,,1.17,0.2175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD,2/6/18, 09:20:00,3101,1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
